Repeat,Fold,Correlation_GBLUP,Correlation_MIBLUP,RMSE_GBLUP,RMSE_MIBLUP,DeltaCorrelation,DeltaRMSE
1,1,0.181648240437035,0.186263991149013,106.61812675996,107.171816751465,0.00461575071197837,-0.553689991504612
1,2,0.13418382073596,0.152291222009595,98.6231577958353,98.5640761213426,0.0181074012736347,0.0590816744927878
1,3,0.258538265577417,0.257626311844905,93.9802344976178,94.053749338281,-0.000911953732512128,-0.073514840663151
1,4,0.335663538884463,0.325198949873801,96.2291751536611,96.1442675741784,-0.0104645890106622,0.0849075794826604
1,5,0.398812390880671,0.401456385124029,98.5935443855471,97.5994353477579,0.00264399424335776,0.994109037789272
2,1,0.0778759296105294,0.0685305862341279,103.674608692434,104.857246798897,-0.00934534337640157,-1.1826381064632
2,2,0.255350551294675,0.262600994783316,91.9046138257512,91.8631134556065,0.00725044348864112,0.0415003701447318
2,3,0.118450629610484,0.128024335111113,100.179167036534,100.590129363051,0.0095737055006294,-0.410962326517435
2,4,0.272284815705678,0.272426778712113,112.849720438918,112.568352807233,0.000141963006435208,0.281367631685768
2,5,0.327374491642529,0.356378490516189,90.4232960248034,89.216152219948,0.0290039988736608,1.20714380485545
3,1,0.108857866118121,0.108008787922901,85.877290092241,86.6927818327475,-0.000849078195220246,-0.815491740506516
3,2,0.249091904193895,0.25541368361034,117.463750197195,117.239035239395,0.00632177941644463,0.224714957800614
3,3,0.319042706925892,0.33531164872341,96.7955834086092,95.9428930823176,0.0162689417975182,0.852690326291651
3,4,0.333276201259391,0.328728962250998,87.7285888965537,87.4454425477574,-0.0045472390083931,0.283146348796294
3,5,0.308747613934797,0.321392650491203,101.261282451594,100.679157903964,0.0126450365564056,0.582124547630301
