Model,MeanCorrelation,SDCorrelation,SECorrelation,LowerCorrelation,UpperCorrelation,MeanRMSE,SDRMSE,MeanTimeSeconds
GBLUP,0.245279931120769,0.0984981696176055,0.0254321180373933,0.190733462908614,0.299826399332925,98.8134759771503,8.78225230944273,5.428
MIBLUP,0.250643585223804,0.100287636249238,0.0258941563349205,0.195106143421804,0.306181027025804,98.708510025596,8.85467786325444,5.81999999999999
