Condition,Trait,Trait_abbrev,n,R2_SMA,Spearman,NMI_obs,NMI_perm_media,NMI_corrigida,Z_MI,p_MI,Year,Location,Treatment,Nitrogen,Fungicide,Water,p_MI_FDR_dentro_trait,z_R2,z_NMI,MI_advantage
2015__GGE__LN_NF_RF,Grain_per_spike,GpS,220,0.38785828434051195,0.6209959259113167,0.17025336107333794,0.0326996576171423,0.13755370345619564,14.33659691067942,0.005,2015,GGE,LN_NF_RF,LN,NF,RF,0.006999999999999999,1.5502065749046365,2.203869189628203,0.6536626147235665
2015__GGE__LN_NF_RF,Spike_number,SN,220,0.02087426867657278,0.2317058361690528,0.04888083349128349,0.03284241586930457,0.01603841762197892,1.679575450697414,0.075,2015,GGE,LN_NF_RF,LN,NF,RF,0.2109375,-0.30835484300031557,0.040317187128696266,0.3486720301290118
2015__GGE__LN_NF_RF,TGW,TGW,220,0.12255970953790478,0.23210922840254025,0.04657049572741206,0.033251158324042844,0.013319337403369214,1.2881764056015583,0.1,2015,GGE,LN_NF_RF,LN,NF,RF,0.15000000000000002,-0.3027035421030242,-0.5846333061191771,-0.2819297640161529
2015__HAN__HN_NF_RF,Harvest_Index,HI,220,0.7576534803063052,0.8491640510979754,0.31803210593906384,0.03380772985627174,0.2842243760827921,29.994650338164046,0.005,2015,HAN,HN_NF_RF,HN,NF,RF,0.005,1.7579086972373448,1.9292866146995535,0.17137791746220876
2015__HAN__HN_NF_RF,Straw,Straw,220,0.5288244766476821,0.6459645109121338,0.20192710902008518,0.03203679332191615,0.16989031569816904,17.14113314287839,0.005,2015,HAN,HN_NF_RF,HN,NF,RF,0.008333333333333333,2.1158423167221208,2.619544812394143,0.5037024956720222
2015__HAN__HN_NF_RF,Biomass,SDM,220,0.8850159892981667,0.9224593295503852,0.49990603042459386,0.03235914567016256,0.4675468847544313,49.44175245221926,0.005,2015,HAN,HN_NF_RF,HN,NF,RF,0.005,1.2820724252957516,2.2312751243127806,0.949202699017029
2015__HAN__HN_NF_RF,Grain,GN,220,0.8534333829965685,0.8981027030986741,0.3878565076384094,0.033522534139798894,0.3543339734986105,38.81015282652121,0.005,2015,HAN,HN_NF_RF,HN,NF,RF,0.005,1.6402006113556844,1.5898477990824795,-0.05035281227320487
2015__HAN__HN_NF_RF,Crude_protein,GP,220,0.18168557904180493,-0.39812017152871304,0.06926309996086369,0.03270954155589369,0.03655355840497,4.133968886802176,0.005,2015,HAN,HN_NF_RF,HN,NF,RF,0.005921052631578947,-0.6675507324330843,-1.0582392162905554,-0.3906884838574711
2015__HAN__HN_NF_RF,Grain_per_spike,GpS,220,0.4520433689645842,0.6291711511695396,0.16157442683474052,0.032225067454818505,0.129349359379922,14.174388722328732,0.005,2015,HAN,HN_NF_RF,HN,NF,RF,0.006999999999999999,2.0691679636482947,1.9838786795992003,-0.08528928404909442
2015__HAN__HN_NF_RF,Spike_number,SN,220,0.020850612943486127,0.08019812580650615,0.06040649071517095,0.03288360901475506,0.02752288170041589,2.802658249790147,0.01,2015,HAN,HN_NF_RF,HN,NF,RF,0.05,-0.30868943509480856,0.5539223029911237,0.8626117380859322
2015__HAN__HN_NF_RF,TGW,TGW,220,0.4746929467251264,0.573431081408519,0.14407409110238623,0.03263902686755618,0.11143506423483004,11.282100914000361,0.005,2015,HAN,HN_NF_RF,HN,NF,RF,0.013999999999999999,2.0257912684630317,1.5661752004815768,-0.45961606798145493
2015__HAN__HN_WF_RF,Harvest_Index,HI,220,0.5112096906875254,0.7025825101570469,0.18656440524958906,0.03436967725332494,0.15219472799626413,15.390474714351686,0.005,2015,HAN,HN_WF_RF,HN,WF,RF,0.005,0.16070003025069335,-0.3015170636141618,-0.46221709386485516
2015__HAN__HN_WF_RF,Straw,Straw,220,0.17351839981708275,0.2903219262606853,0.07460556392390766,0.03389607611725312,0.04070948780665454,4.061808817155433,0.005,2015,HAN,HN_WF_RF,HN,WF,RF,0.008333333333333333,-0.06827068318452337,-0.30360605226678566,-0.2353353690822623
2015__HAN__HN_WF_RF,Biomass,SDM,220,0.7099666080234546,0.7879794661422381,0.2720844265020316,0.0323881469317389,0.23969627957029266,27.18604265689187,0.005,2015,HAN,HN_WF_RF,HN,WF,RF,0.005,0.4335746805029572,-0.013009553883424053,-0.4465842343863813
2015__HAN__HN_WF_RF,Grain,GN,220,0.6584275373401428,0.7766249866169286,0.2545025789158928,0.032783178122338504,0.2217194007935543,24.499878190211938,0.005,2015,HAN,HN_WF_RF,HN,WF,RF,0.005,-0.2984631707096702,-0.6097278659282013,-0.31126469521853106
2015__HAN__HN_WF_RF,Crude_protein,GP,220,0.2681076633158284,-0.5297926891802798,0.10942095311473812,0.0340617138382046,0.07535923927653351,8.180633365857279,0.005,2015,HAN,HN_WF_RF,HN,WF,RF,0.005921052631578947,-0.20716550922536764,-0.42389510650815043,-0.2167295972827828
2015__HAN__HN_WF_RF,Grain_per_spike,GpS,220,0.16171894775655057,0.40808393862382586,0.07749600438275758,0.033525120618912836,0.04397088376384475,4.439909592661162,0.005,2015,HAN,HN_WF_RF,HN,WF,RF,0.006999999999999999,-0.2782179703076623,-0.30545173142014087,-0.02723376111247855
2015__HAN__HN_WF_RF,Spike_number,SN,220,0.01555204793627331,0.08730383234815145,0.04510829976802531,0.03260745570749129,0.01250084406053402,1.354583760354186,0.125,2015,HAN,HN_WF_RF,HN,WF,RF,0.31071428571428567,-0.3836335493641321,-0.11788922690059893,0.26574432246353313
2015__HAN__HN_WF_RF,TGW,TGW,220,0.16782676545594866,0.36666572750376136,0.07752900523312649,0.033987502462289286,0.0435415027708372,4.363410588753034,0.005,2015,HAN,HN_WF_RF,HN,WF,RF,0.013999999999999999,-0.0033733634561060374,0.07787098814042494,0.08124435159653097
2015__HAN__LN_NF_RF,Harvest_Index,HI,220,0.7145211420591104,0.8190676366341153,0.3157518110316193,0.03233610458106215,0.28341570645055714,31.369698101692283,0.005,2015,HAN,LN_NF_RF,LN,NF,RF,0.005,1.4783668813028215,1.915623144287604,0.4372562629847825
2015__HAN__LN_NF_RF,Straw,Straw,220,0.38443126437901226,0.517751869403763,0.13794696895902142,0.033172846323189335,0.10477412263583208,11.388816408038277,0.005,2015,HAN,LN_NF_RF,LN,NF,RF,0.008333333333333333,1.2282383251792406,1.1460718585480143,-0.08216646663122629
2015__HAN__LN_NF_RF,Biomass,SDM,220,0.8482928783649626,0.8881975397688533,0.39627965520443903,0.03244312069435939,0.36383653451007963,36.72203980842125,0.005,2015,HAN,LN_NF_RF,LN,NF,RF,0.005,1.1040685010219522,1.2097481029750148,0.10567960195306259
2015__HAN__LN_NF_RF,Grain,GN,220,0.8093229301142901,0.8842406586161623,0.36988798178047605,0.03304287824873985,0.3368451035317362,35.42991015460492,0.005,2015,HAN,LN_NF_RF,LN,NF,RF,0.005,1.2016735655355302,1.2997733977327233,0.0980998321971931
2015__HAN__LN_NF_RF,Crude_protein,GP,220,0.6509275126290937,-0.7722973239492176,0.27502661816068846,0.03353989615477732,0.24148672200591115,23.904209305962592,0.005,2015,HAN,LN_NF_RF,LN,NF,RF,0.005921052631578947,1.8321812995787703,2.2917379599788226,0.4595566604000523
2015__HAN__LN_NF_RF,Grain_per_spike,GpS,220,0.43799249508489735,0.668285783515437,0.17436063373471186,0.033098335977838025,0.14126229775687382,14.993668872358494,0.005,2015,HAN,LN_NF_RF,LN,NF,RF,0.006999999999999999,1.9555611800104415,2.3033110882263177,0.34774990821587615
2015__HAN__LN_NF_RF,Spike_number,SN,220,0.0035597850564140104,0.026709808078199736,0.04840426757823579,0.03323607914379592,0.015168188434439872,1.5093121471604787,0.07,2015,HAN,LN_NF_RF,LN,NF,RF,0.21000000000000002,-0.5532548559617665,0.0013990312931051608,0.5546538872548716
2015__HAN__LN_NF_RF,TGW,TGW,220,0.48565292251787584,0.5253895178149812,0.12292182825021512,0.03336680099854302,0.08955502725167211,9.13656768402063,0.005,2015,HAN,LN_NF_RF,LN,NF,RF,0.013999999999999999,2.098264537277978,1.0865398638453563,-1.0117246734326217
2015__KAL__HN_NF_RF,Harvest_Index,HI,217,0.6628546798600726,0.8232570921236205,0.3037035475417495,0.033994661843750176,0.26970888569799933,25.75464791249674,0.005,2015,KAL,HN_NF_RF,HN,NF,RF,0.005,1.1435151841085298,1.6840295091008057,0.5405143249922759
2015__KAL__HN_NF_RF,Straw,Straw,217,0.11271306735422153,0.3188613612555607,0.08633424267821181,0.03394640594645505,0.05238783673175676,4.973834758292463,0.005,2015,KAL,HN_NF_RF,HN,NF,RF,0.008333333333333333,-0.44204902742347935,-0.0393441156046892,0.40270491181879015
2015__KAL__HN_NF_RF,Biomass,SDM,217,0.7288702417298323,0.8573401541735368,0.3780166321018841,0.03375357013919396,0.34426306196269013,34.023221702583456,0.005,2015,KAL,HN_NF_RF,HN,NF,RF,0.005,0.5252041992790265,1.0169531595439922,0.49174896026496573
2015__KAL__HN_NF_RF,Grain,GN,0,NA,NA,NA,NA,NA,NA,NA,2015,KAL,HN_NF_RF,HN,NF,RF,NA,NA,NA,NA
2015__KAL__HN_NF_RF,Crude_protein,GP,220,0.004140335461160984,-0.02988341231693367,0.02678406819393095,0.03277478899738167,0,-0.5797022781927147,0.685,2015,KAL,HN_NF_RF,HN,NF,RF,0.685,-1.6133646095454202,-1.6557685971697214,-0.0424039876243012
2015__KAL__HN_NF_RF,Grain_per_spike,GpS,0,NA,NA,NA,NA,NA,NA,NA,2015,KAL,HN_NF_RF,HN,NF,RF,NA,NA,NA,NA
2015__KAL__HN_NF_RF,Spike_number,SN,220,0.0059381758302463955,0.09244969373897657,0.032548185194047605,0.03378990429198224,0,-0.12753841902450228,0.515,2015,KAL,HN_NF_RF,HN,NF,RF,0.7147058823529412,-0.5196143533561446,-0.6769486151522218,-0.15733426179607723
2015__KAL__HN_NF_RF,TGW,TGW,0,NA,NA,NA,NA,NA,NA,NA,2015,KAL,HN_NF_RF,HN,NF,RF,NA,NA,NA,NA
2015__KAL__HN_WF_RF,Harvest_Index,HI,218,0.3574606868512519,0.7224378268214694,0.21367167052017294,0.033561324142841235,0.1801103463773317,18.263685081021386,0.005,2015,KAL,HN_WF_RF,HN,WF,RF,0.005,-0.8357512978502396,0.17015172494516956,1.005903022795409
2015__KAL__HN_WF_RF,Straw,Straw,218,3.150958044734373e-4,-0.2806473041445697,0.05550235983492329,0.0331208977982055,0.022381462036717793,2.568533626031313,0.005,2015,KAL,HN_WF_RF,HN,WF,RF,0.008333333333333333,-1.1329740828426276,-0.7183393006239716,0.414634782218656
2015__KAL__HN_WF_RF,Biomass,SDM,218,0.04193977558008099,0.33894568096143496,0.06832390808396084,0.033985032070820154,0.03433887601314069,3.6132171592599502,0.005,2015,KAL,HN_WF_RF,HN,WF,RF,0.005,-2.8044788142405843,-2.0357405182581205,0.7687382959824638
2015__KAL__HN_WF_RF,Grain,GN,0,NA,NA,NA,NA,NA,NA,NA,2015,KAL,HN_WF_RF,HN,WF,RF,NA,NA,NA,NA
2015__KAL__HN_WF_RF,Crude_protein,GP,220,0.1921518981842343,-0.4499168840828792,0.09376806367320266,0.03334214204441586,0.0604259216287868,6.795565758564795,0.005,2015,KAL,HN_WF_RF,HN,WF,RF,0.005921052631578947,-0.611794860366031,-0.6680052954444152,-0.05621043507838419
2015__KAL__HN_WF_RF,Grain_per_spike,GpS,0,NA,NA,NA,NA,NA,NA,NA,2015,KAL,HN_WF_RF,HN,WF,RF,NA,NA,NA,NA
2015__KAL__HN_WF_RF,Spike_number,SN,220,0.0022774489165349014,-0.03602339349214282,0.03085033182080231,0.03294835378712072,0,-0.21683039577807584,0.54,2015,KAL,HN_WF_RF,HN,WF,RF,0.7147058823529412,-0.5713925113586444,-0.6769486151522218,-0.10555610379357738
2015__KAL__HN_WF_RF,TGW,TGW,0,NA,NA,NA,NA,NA,NA,NA,2015,KAL,HN_WF_RF,HN,WF,RF,NA,NA,NA,NA
2015__KAL__LN_NF_RF,Harvest_Index,HI,216,0.21548035094090165,0.560186475190226,0.14453655963845158,0.03401408069607838,0.1105224789423732,11.309403999131357,0.005,2015,KAL,LN_NF_RF,LN,NF,RF,0.005,-1.7559295803238133,-1.0056210873717684,0.7503084929520449
2015__KAL__LN_NF_RF,Straw,Straw,216,0.19704623614234354,0.3031067290632181,0.057859143466635274,0.03254772533678784,0.025311418129847434,2.7578434620086094,0.01,2015,KAL,LN_NF_RF,LN,NF,RF,0.015517241379310345,0.07635800888870019,-0.6520391860725843,-0.7283971949612844
2015__KAL__LN_NF_RF,Biomass,SDM,216,0.5899262907747485,0.6552530989890328,0.17820924393595838,0.035052776960348433,0.14315646697560996,14.559191602918855,0.005,2015,KAL,LN_NF_RF,LN,NF,RF,0.005,-0.14828363700743236,-0.9639081572339931,-0.8156245202265608
2015__KAL__LN_NF_RF,Grain,GN,0,NA,NA,NA,NA,NA,NA,NA,2015,KAL,LN_NF_RF,LN,NF,RF,NA,NA,NA,NA
2015__KAL__LN_NF_RF,Crude_protein,GP,220,0.004578703151746029,-0.01383725058181142,0.042168384724658656,0.032889834768565156,0.0092785499560935,0.9856478027062126,0.17,2015,KAL,LN_NF_RF,LN,NF,RF,0.17386363636363636,-1.6110293498861283,-1.5040950952551402,0.10693425463098816
2015__KAL__LN_NF_RF,Grain_per_spike,GpS,0,NA,NA,NA,NA,NA,NA,NA,2015,KAL,LN_NF_RF,LN,NF,RF,NA,NA,NA,NA
2015__KAL__LN_NF_RF,Spike_number,SN,220,0.047189796345298664,0.27502296253303504,0.060488956138943374,0.033808147060923735,0.02668080907801964,2.82683360281579,0.02,2015,KAL,LN_NF_RF,LN,NF,RF,0.08181818181818182,0.06385799386737102,0.5162633574942723,0.4524053636269013
2015__KAL__LN_NF_RF,TGW,TGW,0,NA,NA,NA,NA,NA,NA,NA,2015,KAL,LN_NF_RF,LN,NF,RF,NA,NA,NA,NA
2015__KIE__HN_NF_RF,Harvest_Index,HI,220,0.522855730080703,0.6722911254740426,0.18090259184656057,0.0337930438787442,0.1471095479678164,16.736988809930562,0.005,2015,KIE,HN_NF_RF,HN,NF,RF,0.005,0.23617831713966297,-0.38743744950289905,-0.623615766642562
2015__KIE__HN_NF_RF,Straw,Straw,220,0.2604607484117848,0.4467252328654424,0.093485186078279,0.033313757664392166,0.06017142841388684,6.501346273227556,0.005,2015,KIE,HN_NF_RF,HN,NF,RF,0.008333333333333333,0.4661753232051715,0.13678583438211306,-0.32938948882305846
2015__KIE__HN_NF_RF,Biomass,SDM,220,0.81990852783983,0.8833638561277563,0.3770290368030243,0.03294552110414683,0.34408351569887746,34.78118858914653,0.005,2015,KIE,HN_NF_RF,HN,NF,RF,0.005,0.9664841392115722,1.0151846633463344,0.048700524134762224
2015__KIE__HN_NF_RF,Grain,GN,220,0.7325242768834479,0.8159289542045385,0.28097625529860626,0.03357900370081056,0.2473972515977957,26.2634597113847,0.005,2015,KIE,HN_NF_RF,HN,NF,RF,0.005,0.43817456872930644,-0.18382915354158832,-0.6220037222708947
2015__KIE__HN_NF_RF,Crude_protein,GP,220,0.4102291535478156,-0.6338290235147609,0.18262394282736233,0.031804737335410095,0.15081920549195224,16.54980296053714,0.005,2015,KIE,HN_NF_RF,HN,NF,RF,0.005921052631578947,0.5499399754746084,0.8096249353527081,0.2596849598780997
2015__KIE__HN_NF_RF,Grain_per_spike,GpS,220,0.1655512643823604,0.35767455751339716,0.10050624249704511,0.03209721707551883,0.06840902542152627,6.772783150214064,0.005,2015,KIE,HN_NF_RF,HN,NF,RF,0.006999999999999999,-0.24723219892659942,0.34983029934961185,0.5970624982762113
2015__KIE__HN_NF_RF,Spike_number,SN,220,0.005092270604693745,0.14026811222621055,0.057342553604617263,0.034672243350474266,0.022670310254142997,2.4114177984604,0.025,2015,KIE,HN_NF_RF,HN,NF,RF,0.09375,-0.5315790301693076,0.3369069069855577,0.8684859371548653
2015__KIE__HN_NF_RF,TGW,TGW,220,0.21767596995615732,0.43279106067180206,0.11281961594143253,0.03264553640400843,0.0801740795374241,8.785053515307949,0.005,2015,KIE,HN_NF_RF,HN,NF,RF,0.013999999999999999,0.3262564519988552,0.8808988030759641,0.5546423510771089
2015__KIE__HN_WF_RF,Harvest_Index,HI,220,0.38208313840325925,0.5811464925082975,0.1354570954947242,0.033208542355629006,0.1022485531390952,10.970186542335458,0.005,2015,KIE,HN_WF_RF,HN,WF,RF,0.005,-0.6761725432703017,-1.1454192643990286,-0.4692467211287269
2015__KIE__HN_WF_RF,Straw,Straw,220,0.10677154519005873,0.24146667192597895,0.060954366006418736,0.0329872499246784,0.027967116081740337,2.8179840998540637,0.02,2015,KIE,HN_WF_RF,HN,WF,RF,0.028125,-0.47857234251490266,-0.591945084718215,-0.1133727422033124
2015__KIE__HN_WF_RF,Biomass,SDM,220,0.713411284127564,0.8130449727548842,0.29697052769694,0.032758347743039554,0.26421217995390045,28.624862860902372,0.005,2015,KIE,HN_WF_RF,HN,WF,RF,0.005,0.45027168271224616,0.2284673540170408,-0.22180432869520536
2015__KIE__HN_WF_RF,Grain,GN,220,0.6059767740970914,0.7216309878678936,0.22424424061908166,0.03358977253843957,0.1906544680806421,21.225854727962346,0.005,2015,KIE,HN_WF_RF,HN,WF,RF,0.005,-0.8199059751481738,-1.1249779522251702,-0.3050719770769964
2015__KIE__HN_WF_RF,Crude_protein,GP,220,0.4850209807753261,-0.7050968370871675,0.20150764021710457,0.03287890542885396,0.1686287347882506,18.166910326591594,0.005,2015,KIE,HN_WF_RF,HN,WF,RF,0.005921052631578947,0.9483688303385059,1.100751640344571,0.15238281000606502
2015__KIE__HN_WF_RF,Grain_per_spike,GpS,220,0.02663073337128031,0.1729419653674287,0.05642953792485867,0.03231187548951622,0.024117662435342448,2.556880436070515,0.02,2015,KIE,HN_WF_RF,HN,WF,RF,0.024,-1.3704587572581595,-0.8377941399261966,0.5326646173319629
2015__KIE__HN_WF_RF,Spike_number,SN,220,0.02762135248612028,0.17435070972540756,0.070133748743926,0.03342806136983977,0.03670568737408623,3.9260160081235185,0.005,2015,KIE,HN_WF_RF,HN,WF,RF,0.03214285714285715,-0.21292254778093167,0.9645932702871004,1.177515818068032
2015__KIE__HN_WF_RF,TGW,TGW,220,0.09197342739912454,0.30355736125276817,0.058082214854927906,0.032803667012550955,0.02527854784237695,2.676622889381218,0.025,2015,KIE,HN_WF_RF,HN,WF,RF,0.04565217391304348,-0.5049565296470342,-0.32247378923937525,0.18248274040765894
2015__KIE__LN_NF_RF,Harvest_Index,HI,220,0.6456236171601182,0.7720561469151317,0.2829417061931492,0.033787546654601965,0.24915415953854722,28.122987628988916,0.005,2015,KIE,LN_NF_RF,LN,NF,RF,0.005,1.0318402146222612,1.33673206956521,0.3048918549429489
2015__KIE__LN_NF_RF,Straw,Straw,220,0.16654981914063738,0.33466130968145474,0.07995437785965692,0.03274784893908891,0.047206528920568015,5.082682204068061,0.005,2015,KIE,LN_NF_RF,LN,NF,RF,0.008333333333333333,-0.11110746149715311,-0.15658863753227842,-0.045481176035125304
2015__KIE__LN_NF_RF,Biomass,SDM,220,0.757752654295504,0.8414858308492474,0.2974428362317715,0.03223371164220888,0.2652091245895626,29.675853554903796,0.005,2015,KIE,LN_NF_RF,LN,NF,RF,0.005,0.6652027628140109,0.23828706710939024,-0.4269156957046207
2015__KIE__LN_NF_RF,Grain,GN,220,0.8222838920748069,0.8838101463403639,0.39149058515354407,0.033548568489683094,0.357942016663861,33.5798163560461,0.005,2015,KIE,LN_NF_RF,LN,NF,RF,0.005,1.3305258440351755,1.6496916290833017,0.3191657850481262
2015__KIE__LN_NF_RF,Crude_protein,GP,220,0.45615824316364717,-0.6445208296940771,0.18759321056334588,0.03331469271323138,0.1542785178501145,15.923136310348552,0.005,2015,KIE,LN_NF_RF,LN,NF,RF,0.005921052631578947,0.7946120908504184,0.8661732130536092,0.07156112220319077
2015__KIE__LN_NF_RF,Grain_per_spike,GpS,220,0.24679762349028064,0.42864597127288506,0.08113011977748075,0.03263444664051704,0.04849567313696371,5.189613789498536,0.005,2015,KIE,LN_NF_RF,LN,NF,RF,0.006999999999999999,0.40967623392758135,-0.1841244549538957,-0.5938006888814771
2015__KIE__LN_NF_RF,Spike_number,SN,220,0.05105902410467884,0.23080867561125418,0.04391441803937464,0.03255966853252098,0.01135474950685366,1.1904758850614752,0.14,2015,KIE,LN_NF_RF,LN,NF,RF,0.31071428571428567,0.11858523547680473,-0.16914455949705137,-0.2877297949738561
2015__KIE__LN_NF_RF,TGW,TGW,220,0.14282502198143873,0.3438835137465274,0.06498450576003004,0.03405115075759369,0.030933355002436345,3.3266249910382966,0.01,2015,KIE,LN_NF_RF,LN,NF,RF,0.023333333333333334,-0.16869837054865636,-0.1985139742758202,-0.029815603727163853
2015__QLB__HN_NF_RF,Harvest_Index,HI,220,0.5555861755548269,0.697428759797817,0.19711195352045885,0.032762430435415886,0.16434952308504297,18.19899733622487,0.005,2015,QLB,HN_NF_RF,HN,NF,RF,0.005,0.44830519307543665,-0.09614681544515172,-0.5444520085205884
