Trait,Trait_abbrev,Environment_1,Environment_2,n,R2_SMA,Spearman,NMI_obs,NMI_perm_media,NMI_corrigida,Z_MI,p_MI
Seedyield,GY,2015__GGE__HN_NF_RF,2017__KIE__HN_NF_RF,215,0.35299061332542986,0.6241360573788307,0.16002672387916503,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_NF_RF,2017__KIE__HN_WF_RF,216,0.45656785123025934,0.6440371997761344,0.20419883246815526,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_NF_RF,2017__KIE__LN_NF_RF,212,0.5096285899884999,0.6714479850578027,0.20584862932463358,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_NF_RF,2017__QLB__HN_NF_RF,220,0.40694920843699894,0.6358655043586551,0.18274389479231926,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_NF_RF,2017__QLB__HN_WF_RF,220,0.18171611220495462,0.42172621898649293,0.10078577970437679,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_NF_RF,2017__QLB__LN_NF_RF,220,0.45661026296790924,0.6444937818024039,0.18061589502208647,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2015__GGE__LN_NF_RF,220,0.6977885625581459,0.8156088874864056,0.3211725895685745,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2015__HAN__HN_NF_RF,220,0.32083148988505755,0.5434304615610015,0.1354898318607292,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2015__HAN__HN_WF_RF,220,0.6557396255981495,0.7734874311828381,0.25641268579181453,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2015__HAN__LN_NF_RF,220,0.4857250206005808,0.6852121287254245,0.18768534034371936,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2015__KAL__HN_NF_RF,220,0.37632043440037005,0.6005950536168103,0.19162130197173335,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2015__KAL__HN_WF_RF,220,0.7029014968293101,0.7982858398652113,0.2725963212136653,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2015__KAL__LN_NF_RF,220,0.5416744939373623,0.7338487459357725,0.25589586882406673,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2015__KIE__HN_NF_RF,220,0.6499585854639225,0.773869482652722,0.25978035027407864,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2015__KIE__HN_WF_RF,220,0.5856752322824074,0.7322743332412954,0.2313064529879225,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2015__KIE__LN_NF_RF,220,0.6373068274754684,0.770515544085246,0.25940546108403045,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2015__QLB__HN_NF_RF,220,0.2611200979254423,0.5258775068605851,0.1373449643580377,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2015__QLB__HN_WF_RF,220,0.2788129943406699,0.5182556363861763,0.11724092493091785,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2015__QLB__LN_NF_RF,220,0.24356858402266343,0.4628142204290472,0.12355070047648199,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2016__GGE__HN_NF_RF,220,0.2547394947573058,0.48063427305973644,0.11945975991189495,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2016__GGE__HN_WF_RF,220,0.5851023611456948,0.7360306091974103,0.24635606946214833,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2016__GGE__LN_NF_RF,220,0.38622819050610496,0.6086767382496633,0.17385257248257577,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2016__HAN__HN_NF_RF,220,0.3586743564931924,0.5666195206888196,0.1387905991301928,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2016__HAN__HN_WF_RF,220,0.5980716641194164,0.7258380620185616,0.22724254327872995,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2016__HAN__LN_NF_RF,220,0.4432720281603178,0.6323154685765484,0.18363780670461613,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2016__KAL__HN_NF_RF,220,0.2744774028791881,0.47581524035996237,0.12678271023996263,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2016__KAL__HN_WF_RF,220,0.5827000236419606,0.758553613992776,0.24850135698477072,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2016__KAL__LN_NF_RF,220,0.48556820145468027,0.6656519950637598,0.19037879021404547,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2016__KIE__HN_NF_RF,216,0.4133224568306919,0.625020540849498,0.1853628939885271,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2016__KIE__HN_WF_RF,216,0.606165885603197,0.7535264768573094,0.22742697723448924,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2016__KIE__LN_NF_RF,215,0.4542257976103653,0.6191407665000362,0.16779390355164564,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2016__QLB__HN_NF_RF,220,0.18310590818824526,0.4141404123676485,0.08773468624633357,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2016__QLB__HN_WF_RF,220,0.4543819589990072,0.6545510895228865,0.1928276077118096,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2016__QLB__LN_NF_RF,220,0.22401008108199902,0.45760975527293013,0.08925445845857223,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2017__GGE__HN_NF_RF,220,0.4857331955062189,0.6415038627770296,0.19148799717597884,NA,NA,NA,NA
Seedyield,GY,2015__GGE__HN_WF_RF,2017__GGE__HN_WF_RF,220,0.6273349678231276,0.7489425964849011,0.2639854963067167,NA,NA,NA,NA
