Trait,Trait_abbrev,n_pares_validos,R2_medio,R2_mediano,NMI_media,NMI_mediana,correlacao_R2_NMI
Grain,GN,861,0.46225733717766654,0.47279146854409476,0.1943258744835316,0.19445269030675744,0.9342533170419618
Seedyield,GY,990,0.4543996958413268,0.46060943697116,0.1862005890964471,0.18292693696382456,0.9384769757489247
TGW,TGW,861,0.43114569741403347,0.4359797300011996,0.16983356753492362,0.1617809424010687,0.9343311516456849
Harvest_Index,HI,990,0.32408598155410034,0.3154602401050457,0.15456988147881778,0.1489906105690672,0.8960530610590451
Crude_protein,GP,990,0.2820042258258954,0.2874258796516487,0.11745012236473167,0.11028073302244265,0.9658052107104702
Grain_per_spike,GpS,861,0.21203494208792895,0.16715153464726631,0.10033192792030975,0.08511649232316862,0.9559066405889411
Biomass,SDM,990,0.22882041182686838,0.22741449043466253,0.09847533501874457,0.09729039084440053,0.8881918514910692
Straw,Straw,990,0.11775858370628633,0.0998365509583653,0.07503152439164115,0.0711125964840207,0.7889275217278685
Spike_number,SN,990,0.06655542521880681,0.058059238252581614,0.047618186571975515,0.04567434503770956,0.6306701565759272
