Trait,Trait_abbrev,n_ambientes,R2_medio,R2_mediano,NMI_corrigida_media,NMI_corrigida_mediana,ambientes_MI_FDR_5pct
Grain,GN,45,0.688449278881903,0.7091859594587331,0.25848049144057306,0.2475840948448416,42
Biomass,SDM,45,0.6205179559507753,0.6586315202592935,0.24101707222833293,0.2440279846266833,45
Harvest_Index,HI,45,0.4864142301660453,0.49969535074268173,0.17003995220315318,0.16434952308504297,45
Crude_protein,GP,45,0.30699612931002895,0.31035672099459033,0.10129080855021258,0.10504735701909142,42
Grain_per_spike,GpS,45,0.1961289141923303,0.17278725681730972,0.05536242562141838,0.04370244671122467,38
Straw,Straw,45,0.18462450495261126,0.16654981914063738,0.054126544606166366,0.05025182235527505,32
TGW,TGW,45,0.16833691191992936,0.12605318369864058,0.03998917880660057,0.02513651506011073,23
Spike_number,SN,45,0.04267502243629591,0.02087426867657278,0.015136905403694946,0.007551403079329007,7
