Trait,n,NMI_observada,NMI_nula_media,NMI_corrigida,p_permutacao,Redundancia_media,Escore_informacional,Peso_relativo_secundario,Peso_final,Direcao
Seedyield,220,NA,NA,NA,NA,NA,NA,NA,0.5,1
Crude_protein,220,0.20105016807968681,0.03273290589062204,0.1683172621890648,0.002,0.023239629549761658,0.1644944716059585,0.7213405218457103,0.36067026092285515,1
TGW,220,0.06872776748006905,0.032995665528413744,0.035732101951655305,0.002,0.021446628832063556,0.03498185900570438,0.1534023130622574,0.0767011565311287,1
Spike_number,220,0.06299059575619377,0.033418311895289925,0.029572283860903846,0.008,0.035312151013350335,0.028563640281782526,0.12525716509203227,0.06262858254601614,1
