BRISONr,Condition,tem_yield,peso_disponivel,n_traits_disponiveis,MI_Index_Local
BRISONr_1,2015__GGE__HN_NF_RF,TRUE,1,4,0.3191874124275605
BRISONr_1,2015__GGE__HN_WF_RF,TRUE,1,4,0.013474748032168141
BRISONr_1,2015__GGE__LN_NF_RF,TRUE,1,4,0.507488846973099
BRISONr_1,2015__HAN__HN_NF_RF,TRUE,1,4,0.21816891856437937
BRISONr_1,2015__HAN__HN_WF_RF,TRUE,1,4,0.21795118042539413
BRISONr_1,2015__HAN__LN_NF_RF,TRUE,1,4,0.4590848590357684
BRISONr_1,2015__KAL__HN_NF_RF,TRUE,0.9232988434688713,3,0.10051271659480186
BRISONr_1,2015__KAL__HN_WF_RF,TRUE,0.9232988434688713,3,0.17186266771253256
BRISONr_1,2015__KAL__LN_NF_RF,TRUE,0.9232988434688713,3,0.3849367022603292
BRISONr_1,2015__KIE__HN_NF_RF,TRUE,1,4,-0.3506419651199025
BRISONr_1,2015__KIE__HN_WF_RF,TRUE,1,4,0.06682761126392756
BRISONr_1,2015__KIE__LN_NF_RF,TRUE,1,4,-0.009996171973671912
BRISONr_1,2015__QLB__HN_NF_RF,TRUE,1,4,0.42156170883002164
BRISONr_1,2015__QLB__HN_WF_RF,TRUE,1,4,0.31379621139929975
BRISONr_1,2015__QLB__LN_NF_RF,TRUE,1,4,0.23311300484344905
BRISONr_1,2016__GGE__HN_NF_RF,TRUE,1,4,-0.19354772975658915
BRISONr_1,2016__GGE__HN_WF_RF,TRUE,1,4,0.10659367654383389
BRISONr_1,2016__GGE__LN_NF_RF,TRUE,1,4,-0.07712794884081448
BRISONr_1,2016__HAN__HN_NF_RF,TRUE,1,4,-0.15634622482598215
BRISONr_1,2016__HAN__HN_WF_RF,TRUE,1,4,-0.1016989044812062
BRISONr_1,2016__HAN__LN_NF_RF,TRUE,1,4,-0.2366224836147137
BRISONr_1,2016__KAL__HN_NF_RF,TRUE,1,4,0.45481343335403773
